Avocado,Quality,Ripeness,Cropped,Quality filed
1000,4,3,x,x
1001,3,3,x,x
1002,4,3,x,x
1003,0,4,x,x
1004,1,4,x,x
1005,2,2,x,x
1006,2,4,x,x
1007,4,3,x,x
1008,3,3,x,x
1009,5,3,x,x
1010,5,3,x,x
1011,4,3,x,x
1012,3,3,x,x
1013,3,3,x,x
1014,4,3,x,x
1015,4,4,x,x
1016,5,4,x,x
1017,3,3,x,x
1018,3,1,x,x 
1019,1,5,x,x
1020,4,3,x,x
1021,2.5,1,x,x
1022,3,1,x,x
1023A,4,1,x,x
1023B,4,3,x,x
1024A,4.5,2,x,x
1024B,4.5,2,x,x
1025A,2.5,3,x,x
1025B,2.5,3,x,x
1026A,,3,,
1027A,3.5,3,x,x
1027B,3.5,3,x,x
1028A,1.5,0,x,x
1028B,1.5,2,x,x
1029A,,1,,
1030A,0,2,x,x
1030A,0,4,x,x
1031,4,4,x,x
1032A,,1,,
1033A,,1,,
1034A,,1,,
1035A,,1,,
